conversation_id,turn_number,total_issues
082fc98f6ec87d0e1c7bbaac985f4c5c,4,1
082fc98f6ec87d0e1c7bbaac985f4c5c,5,1
082fc98f6ec87d0e1c7bbaac985f4c5c,6,1
083afafe4797b151cc0685ece63a5251,1,1
083afafe4797b151cc0685ece63a5251,2,1
083afafe4797b151cc0685ece63a5251,3,1
083afafe4797b151cc0685ece63a5251,4,1
08512cbd12c665b9675c728b6c555907,1,1
08512cbd12c665b9675c728b6c555907,2,1
08512cbd12c665b9675c728b6c555907,3,4
08512cbd12c665b9675c728b6c555907,4,4
085223cc9b0085224180501a6272a601,1,1
085223cc9b0085224180501a6272a601,2,1
085223cc9b0085224180501a6272a601,3,2
085223cc9b0085224180501a6272a601,4,2
085223cc9b0085224180501a6272a601,5,2
085223cc9b0085224180501a6272a601,6,3
08646e638b07e5fc237399e8c33caf10,1,2
08646e638b07e5fc237399e8c33caf10,2,1
08646e638b07e5fc237399e8c33caf10,3,1
086ac0f376eb55fdc51f8f8e7e142f02,1,2
086ac0f376eb55fdc51f8f8e7e142f02,2,2
08cf6c64728a5bbacea03bde861d60ef,1,1
08d9c1008a9460fcab8db87ef878c772,1,1
08d9c1008a9460fcab8db87ef878c772,2,1
08d9c1008a9460fcab8db87ef878c772,3,1
08e79d1a5be8d17d277e8908a375ca3d,1,1
08fd62ef987d2997fcde482e330ec80c,1,1
08fd62ef987d2997fcde482e330ec80c,2,1
08fd62ef987d2997fcde482e330ec80c,3,1
0956a074adbef48737eedd64eac9d81e,1,9
0956a074adbef48737eedd64eac9d81e,2,7
09836607f35056152a2c17158695ab9e,1,4
09836607f35056152a2c17158695ab9e,2,3
09a32ee63789aebead707fe1bf6ab31f,1,1
09a32ee63789aebead707fe1bf6ab31f,2,1
09a32ee63789aebead707fe1bf6ab31f,3,4
09c07c307d201f6f54490c3d82ba1cf5,1,1
09c07c307d201f6f54490c3d82ba1cf5,2,1
09c07c307d201f6f54490c3d82ba1cf5,3,2
09c07c307d201f6f54490c3d82ba1cf5,4,2
09ced25c381a453d8d62a41a775b4d98,1,1
09ced25c381a453d8d62a41a775b4d98,2,1
09ced25c381a453d8d62a41a775b4d98,3,1
09ced25c381a453d8d62a41a775b4d98,4,1
09ced25c381a453d8d62a41a775b4d98,5,1
09ced25c381a453d8d62a41a775b4d98,6,1
09e6462b90f5aa42b6cade9b1bdc3b6f,1,1
0a3ee10ef43de702a907e18214dbc987,1,1
0a3ee10ef43de702a907e18214dbc987,2,1
0a3ee10ef43de702a907e18214dbc987,3,1
0a73653c767c46db2b09bdbbebabb41c,1,1
0a73653c767c46db2b09bdbbebabb41c,2,1
0a73653c767c46db2b09bdbbebabb41c,3,1
0a73653c767c46db2b09bdbbebabb41c,4,1
0a86762632b587e16e742c739031d59f,1,3
0a86762632b587e16e742c739031d59f,2,4
0aad50b8c42b55c9a0c835871ef340a5,1,7
0aad50b8c42b55c9a0c835871ef340a5,2,7
0aad50b8c42b55c9a0c835871ef340a5,3,2
0aad50b8c42b55c9a0c835871ef340a5,4,2
0b3768545287dacf98ae87f868beaecd,1,1
0b3768545287dacf98ae87f868beaecd,2,2
0b39476ad981da93b2cf5b6ad3b38d35,1,2
0b39476ad981da93b2cf5b6ad3b38d35,2,2
0b39476ad981da93b2cf5b6ad3b38d35,3,1
0b39476ad981da93b2cf5b6ad3b38d35,4,1
0b39476ad981da93b2cf5b6ad3b38d35,5,1
0b39476ad981da93b2cf5b6ad3b38d35,6,1
0b862de356a422a8055c14c561fe93a3,1,18
0b862de356a422a8055c14c561fe93a3,2,1
0b862de356a422a8055c14c561fe93a3,3,1
0bad1fef903205341173da488c5acd3c,1,7
0bbe75a32441050012615d02bdbbcc9a,1,2
0bbe75a32441050012615d02bdbbcc9a,2,1
0bbe75a32441050012615d02bdbbcc9a,3,3
0bbe75a32441050012615d02bdbbcc9a,4,4
0bbe75a32441050012615d02bdbbcc9a,5,1
0be650ea52c9648f382cce1075abef39,1,1
0be650ea52c9648f382cce1075abef39,2,2
0be650ea52c9648f382cce1075abef39,3,3
0be650ea52c9648f382cce1075abef39,4,3
0be650ea52c9648f382cce1075abef39,5,1
0c02da2ded1cad73e0f90c173f663ee6,1,1
0c032518d0b7af62bb83d52d1d26d10c,1,1
0c032518d0b7af62bb83d52d1d26d10c,2,1
0c032518d0b7af62bb83d52d1d26d10c,3,1
0c032518d0b7af62bb83d52d1d26d10c,4,1
0c032518d0b7af62bb83d52d1d26d10c,5,1
0c790793b6aafefb0c0f364f20a13de3,1,1
0c790793b6aafefb0c0f364f20a13de3,2,1
0c790793b6aafefb0c0f364f20a13de3,3,1
0c790793b6aafefb0c0f364f20a13de3,4,1
0cc3a17179897884c5bdbd9377713e26,1,1
0cd099f091012589650e22037acb1ede,1,1
0cd099f091012589650e22037acb1ede,2,1
0cd099f091012589650e22037acb1ede,3,1
0cd099f091012589650e22037acb1ede,4,1
0cd099f091012589650e22037acb1ede,5,1
0cd099f091012589650e22037acb1ede,6,1
0cd3ae8e7eef575c990e6de245e1ed55,1,2
0cd3ae8e7eef575c990e6de245e1ed55,2,1
0ce74bf15fd8c75bb983d0f0cbc75081,1,1
0ce74bf15fd8c75bb983d0f0cbc75081,2,1
0ce74bf15fd8c75bb983d0f0cbc75081,3,1
0cfca44fc0e408915a7f3910770af201,1,2
0cfca44fc0e408915a7f3910770af201,2,4
0cfca44fc0e408915a7f3910770af201,3,2
0cfe9ffdc225481c6ff3655673678399,1,4
0cfe9ffdc225481c6ff3655673678399,2,1
0cfe9ffdc225481c6ff3655673678399,3,1
0d0c1aedef1cf4516078c4dffc6833d5,1,3
0d0c1aedef1cf4516078c4dffc6833d5,2,4
0d9e5beaedf0511bfcadb736b5e93a07,1,1
0d9e5beaedf0511bfcadb736b5e93a07,2,1
0daaedce3fa01e43d16151361567ede8,1,3
0daaedce3fa01e43d16151361567ede8,2,1
0daaedce3fa01e43d16151361567ede8,3,1
0dae3152011cb60981bf24b726e02bbe,1,1
0dae3152011cb60981bf24b726e02bbe,2,1
0dae3152011cb60981bf24b726e02bbe,3,1
0dae3152011cb60981bf24b726e02bbe,4,1
0dae3152011cb60981bf24b726e02bbe,5,1
0dae3152011cb60981bf24b726e02bbe,6,3
0ddd7407db248322844dcc1f578f3e28,1,1
0ddd7407db248322844dcc1f578f3e28,2,1
0df51122de7b7a5769e1832afbd644b1,1,1
0df51122de7b7a5769e1832afbd644b1,2,1
0df51122de7b7a5769e1832afbd644b1,3,1
0df51122de7b7a5769e1832afbd644b1,4,1
0df51122de7b7a5769e1832afbd644b1,5,1
0e3562c9669a119781bf78676d9d666a,1,3
0e3685fcce2a790c8e617c720e76f303,1,1
0e3685fcce2a790c8e617c720e76f303,2,1
0e4b653db4eba714119e9a24c98657ed,1,2
0e4b653db4eba714119e9a24c98657ed,2,2
0e4b653db4eba714119e9a24c98657ed,3,2
0e4b653db4eba714119e9a24c98657ed,4,2
0e4b653db4eba714119e9a24c98657ed,5,2
0e4b653db4eba714119e9a24c98657ed,6,2
0e78556b425df9c5e6c86af86397e1f0,1,1
0e78556b425df9c5e6c86af86397e1f0,2,3
0e78556b425df9c5e6c86af86397e1f0,3,3
0e78556b425df9c5e6c86af86397e1f0,4,2
0e78556b425df9c5e6c86af86397e1f0,5,2
0e78556b425df9c5e6c86af86397e1f0,6,2
0e8a048fd729e9433c18c13d76f50b3d,1,1
0e8a048fd729e9433c18c13d76f50b3d,2,1
0e8a048fd729e9433c18c13d76f50b3d,3,1
0e8a048fd729e9433c18c13d76f50b3d,4,1
0e8a048fd729e9433c18c13d76f50b3d,5,1
0e8a048fd729e9433c18c13d76f50b3d,6,1
0e9c3e2bd707e9a422271b269206648f,1,2
0e9c3e2bd707e9a422271b269206648f,2,2
0e9c3e2bd707e9a422271b269206648f,3,2
0ea617b4c0b20e2955915bd6d29a4e30,1,2
0ea617b4c0b20e2955915bd6d29a4e30,2,1
0f012095d7e6a973549887f2cd5326fe,1,2
0f012095d7e6a973549887f2cd5326fe,2,1
0f012095d7e6a973549887f2cd5326fe,3,1
0f012095d7e6a973549887f2cd5326fe,4,1
0f012095d7e6a973549887f2cd5326fe,5,1
0f0a3cb3abfce83a2d6b7153231bff36,1,2
0f0a3cb3abfce83a2d6b7153231bff36,2,2
0f0a3cb3abfce83a2d6b7153231bff36,3,2
0f0a3cb3abfce83a2d6b7153231bff36,4,13
0f17e905d72030fb2021e5ce16d8c167,1,1
0f17e905d72030fb2021e5ce16d8c167,2,1
0f17e905d72030fb2021e5ce16d8c167,3,1
0f274feb9cbecc304b9839379193074c,1,2
0f274feb9cbecc304b9839379193074c,2,3
0f274feb9cbecc304b9839379193074c,3,7
0f274feb9cbecc304b9839379193074c,4,8
0f274feb9cbecc304b9839379193074c,5,7
0f274feb9cbecc304b9839379193074c,6,9
0f2e9fc3f7374f0e9fd98a3f961787ca,1,1
0f2e9fc3f7374f0e9fd98a3f961787ca,2,1
0f49ea76bfa071fdae74e4fc1187b465,1,1
0f49ea76bfa071fdae74e4fc1187b465,2,1
0f49ea76bfa071fdae74e4fc1187b465,3,1
0f49ea76bfa071fdae74e4fc1187b465,4,1
0f49ea76bfa071fdae74e4fc1187b465,5,1
0f5a4a559a45d7bbf54b932dbd2015e5,1,1
0f5a4a559a45d7bbf54b932dbd2015e5,2,1
0f5a4a559a45d7bbf54b932dbd2015e5,3,1
0f68d981b85d82e654081887160a1cd8,1,1
0f68d981b85d82e654081887160a1cd8,2,1
0fc73894f0d8ce7d29aa1f960fc5d6a5,1,4
0fc73894f0d8ce7d29aa1f960fc5d6a5,2,4
0fdcf62c8465e3026850adb11fdc2381,1,1
0fdcf62c8465e3026850adb11fdc2381,2,9
0fdcf62c8465e3026850adb11fdc2381,3,1
0fdcf62c8465e3026850adb11fdc2381,4,1
0ffe720d1bc521476e06e5bee655767e,1,1
0ffe720d1bc521476e06e5bee655767e,2,2
0ffe720d1bc521476e06e5bee655767e,3,1
0ffe720d1bc521476e06e5bee655767e,4,1
0ffe720d1bc521476e06e5bee655767e,5,2
1027d0986f8f44e4b57d451de104e396,1,1
1027d0986f8f44e4b57d451de104e396,2,1
1032b6f928e7363d0fdc03431f74064e,1,1
1032b6f928e7363d0fdc03431f74064e,2,1
105216b098172c783e163d16a79cce71,1,3
1053eaacd9cf4dfc815acf421c55cef9,1,1
1053eaacd9cf4dfc815acf421c55cef9,2,1
1053eaacd9cf4dfc815acf421c55cef9,3,1
1053eaacd9cf4dfc815acf421c55cef9,4,1
108d15e59dd70f2e5eceb9204b3e11ed,1,5
108d15e59dd70f2e5eceb9204b3e11ed,2,4
109931fec37aa24537dac785d15df8f7,1,1
109931fec37aa24537dac785d15df8f7,2,1
10ebf6c44ee68dec934e381b7d6f6977,1,7
10ebf6c44ee68dec934e381b7d6f6977,2,6
1142341c0ce0a6972069292f15443f3c,1,1
1142341c0ce0a6972069292f15443f3c,2,3
1142341c0ce0a6972069292f15443f3c,3,3
11b66595338f73320e6105765f06357b,1,3
11b66595338f73320e6105765f06357b,2,3
121b1fe0f250fac9a2ec13827406b21f,1,9
121b1fe0f250fac9a2ec13827406b21f,2,12
1278a5e4567ef29d8409ab5c0d801d4b,1,1
1278a5e4567ef29d8409ab5c0d801d4b,2,1
128e1ac6ad105661c4b75295a6a0835f,1,1
128e1ac6ad105661c4b75295a6a0835f,2,5
128e1ac6ad105661c4b75295a6a0835f,3,5
128e1ac6ad105661c4b75295a6a0835f,4,5
128e1ac6ad105661c4b75295a6a0835f,5,5
128e1ac6ad105661c4b75295a6a0835f,6,5
12966cdd3873d7e94fd9fecaf518b9cd,1,1
12a755a48d07ecb44a59410bc40af1d3,1,1
12a755a48d07ecb44a59410bc40af1d3,2,1
12c48b92dd0d5326dc24d8c378b9b6d7,1,2
12fa5b447f64ddae3b755a6c82e5293b,1,1
12fa5b447f64ddae3b755a6c82e5293b,2,1
12fa5b447f64ddae3b755a6c82e5293b,3,6
12fa5b447f64ddae3b755a6c82e5293b,4,2
12fa5b447f64ddae3b755a6c82e5293b,5,2
12fa5b447f64ddae3b755a6c82e5293b,6,2
12fc148246fbdee102608583a1a2807c,1,1
12fc148246fbdee102608583a1a2807c,2,1
1352dd09f87ba889d30705bff9f17b72,1,2
1352dd09f87ba889d30705bff9f17b72,2,1
1352dd09f87ba889d30705bff9f17b72,3,1
13ce836262c78949e138e472cb76338a,1,5
13ce836262c78949e138e472cb76338a,2,5
13ce836262c78949e138e472cb76338a,3,5
143c4e950b576e891049028f904942d0,1,2
143c4e950b576e891049028f904942d0,2,1
143c4e950b576e891049028f904942d0,3,1
144abe214a206a2cd1d16dfb2c1424ab,1,4
144abe214a206a2cd1d16dfb2c1424ab,2,7
14a0f797f60b3c31b1bba4825ba7d668,1,1
14a0f797f60b3c31b1bba4825ba7d668,2,1
14a0f797f60b3c31b1bba4825ba7d668,3,1
14a0f797f60b3c31b1bba4825ba7d668,4,2
14a0f797f60b3c31b1bba4825ba7d668,5,1
14ea119a1c9d6a9db2276c15dbd71421,1,2
14ea119a1c9d6a9db2276c15dbd71421,2,2
14edf785dee45ee14c2e952a57a6c51b,1,3
14edf785dee45ee14c2e952a57a6c51b,2,3
14fa3f0b778f53b466bfce5b0b6537d6,1,3
14fa3f0b778f53b466bfce5b0b6537d6,2,1
14fa3f0b778f53b466bfce5b0b6537d6,3,1
14fa3f0b778f53b466bfce5b0b6537d6,4,1
1564837b0dbebe0cbcfdaafd2b396878,1,7
1564837b0dbebe0cbcfdaafd2b396878,2,2
1564837b0dbebe0cbcfdaafd2b396878,3,2
157ffb44b2d7800f84befa7c459601aa,1,5
159d0b0172ff962dbebfedf056a7493d,1,7
159d0b0172ff962dbebfedf056a7493d,2,5
159d0b0172ff962dbebfedf056a7493d,3,8
159d0b0172ff962dbebfedf056a7493d,4,11
159d0b0172ff962dbebfedf056a7493d,5,1
15d884e69e9548072eb7dab396ccda95,1,3
15d884e69e9548072eb7dab396ccda95,2,2
15e0e7a2dc4f873d1dab868fa5b393f2,1,3
15e0e7a2dc4f873d1dab868fa5b393f2,2,3
15e0e7a2dc4f873d1dab868fa5b393f2,3,3
15e0e7a2dc4f873d1dab868fa5b393f2,4,3
15e0e7a2dc4f873d1dab868fa5b393f2,5,3
15e0e7a2dc4f873d1dab868fa5b393f2,6,3
161047a2e21ada161cf72c39345f4df3,1,2
161047a2e21ada161cf72c39345f4df3,2,10
161047a2e21ada161cf72c39345f4df3,3,2
164188a3aed6b0002094d6743f93c4d7,1,1
164188a3aed6b0002094d6743f93c4d7,2,1
168a1b5cb2fa8d9e87fc41b9341daa8b,1,4
168a1b5cb2fa8d9e87fc41b9341daa8b,2,4
168a1b5cb2fa8d9e87fc41b9341daa8b,3,2
1714170eea14d01d153a7565eeaba7a1,1,1
1714170eea14d01d153a7565eeaba7a1,2,1
1727f38e7917ca019e35e95212ea9812,1,1
1727f38e7917ca019e35e95212ea9812,2,1
1727f38e7917ca019e35e95212ea9812,3,1
1727f38e7917ca019e35e95212ea9812,4,1
172c602c4da78ffa4907f4fe338270a2,1,2
172c602c4da78ffa4907f4fe338270a2,2,2
172c602c4da78ffa4907f4fe338270a2,3,2
172c602c4da78ffa4907f4fe338270a2,4,2
172c602c4da78ffa4907f4fe338270a2,5,3
173f77c698bd3b10accf53dbea511afe,1,1
173f77c698bd3b10accf53dbea511afe,2,1
173f77c698bd3b10accf53dbea511afe,3,1
173f77c698bd3b10accf53dbea511afe,4,1
173f77c698bd3b10accf53dbea511afe,5,1
173f77c698bd3b10accf53dbea511afe,6,1
17baa6fb123744ce28900eb0afec7963,1,1
17bd3e62d94701de9210d1766eb445a6,1,2
17bd3e62d94701de9210d1766eb445a6,2,1
17d329ad65067de65140f423e532a22b,1,2
17d329ad65067de65140f423e532a22b,2,3
17d329ad65067de65140f423e532a22b,3,3
17d329ad65067de65140f423e532a22b,4,2
17d329ad65067de65140f423e532a22b,5,1
17d329ad65067de65140f423e532a22b,6,1
17d7cb454c5dc9f6317e2246a647504f,1,1
17d7cb454c5dc9f6317e2246a647504f,2,1
17e6cf62cd2782e93696a024ae69f87a,1,5
17e6cf62cd2782e93696a024ae69f87a,2,5
17fac39820c7fd04fd5198c6c2e160a6,1,1
183fafbdf8d2cc3724c55c265288a52d,1,1
183fafbdf8d2cc3724c55c265288a52d,2,1
183fafbdf8d2cc3724c55c265288a52d,3,1
18676efe6342ac469aae015b55833fc6,1,1
18676efe6342ac469aae015b55833fc6,2,1
18676efe6342ac469aae015b55833fc6,3,1
18676efe6342ac469aae015b55833fc6,4,3
187c9ca17ae9a8b49d932218a221a561,1,1
187c9ca17ae9a8b49d932218a221a561,2,1
18832646d7aafc3b99ad905eeb411f53,1,1
18832646d7aafc3b99ad905eeb411f53,2,1
18832646d7aafc3b99ad905eeb411f53,3,1
18832646d7aafc3b99ad905eeb411f53,4,1
18832646d7aafc3b99ad905eeb411f53,5,1
18f6085b7badef34d9d48683d761eccc,1,1
18f6085b7badef34d9d48683d761eccc,2,1
18ffac4533554e354e4f3f3f21032424,1,3
18ffac4533554e354e4f3f3f21032424,2,1
18ffac4533554e354e4f3f3f21032424,3,4
18ffac4533554e354e4f3f3f21032424,4,3
18ffac4533554e354e4f3f3f21032424,5,1
1914d4fe1fe2079fcb212dffe3ff8bd0,1,1
1914d4fe1fe2079fcb212dffe3ff8bd0,2,1
1914d4fe1fe2079fcb212dffe3ff8bd0,3,3
191742a92f304b3a09033fe24ece0d70,1,1
191742a92f304b3a09033fe24ece0d70,2,1
191742a92f304b3a09033fe24ece0d70,3,1
191742a92f304b3a09033fe24ece0d70,4,1
191742a92f304b3a09033fe24ece0d70,5,1
1936a93b5fde7cc8af112a28466e43c6,1,2
1936a93b5fde7cc8af112a28466e43c6,2,2
1936a93b5fde7cc8af112a28466e43c6,3,7
1936a93b5fde7cc8af112a28466e43c6,4,2
193b9aaa42136243b4ede81e208a9291,1,1
193b9aaa42136243b4ede81e208a9291,2,1
195bfa2be8e4f713062166ce80338ec1,1,2
195bfa2be8e4f713062166ce80338ec1,2,1
19625efe7502e799c5f7210c43313387,1,4
19625efe7502e799c5f7210c43313387,2,2
196d3866cf84218a4203318c05795d56,1,2
196d3866cf84218a4203318c05795d56,2,6
196d3866cf84218a4203318c05795d56,3,5
19986ececc5b158420398675b2a3483a,1,3
19986ececc5b158420398675b2a3483a,2,4
19bb5532b3e46031e0fc4cb95f2eff8c,1,8
19bb5532b3e46031e0fc4cb95f2eff8c,2,8
19f33605c9611048ac462f15e73b54bd,1,8
19f33605c9611048ac462f15e73b54bd,2,11
1a45625e92e7270e43c0f7751b3f4515,1,1
1a45625e92e7270e43c0f7751b3f4515,2,1
1a621805059caf90528c7ccc28f5b7df,1,7
1a621805059caf90528c7ccc28f5b7df,2,1
1a621805059caf90528c7ccc28f5b7df,3,6
1a6eaef9aadc23b47d5b1557b29dcb78,1,2
1a6eaef9aadc23b47d5b1557b29dcb78,2,1
1a6eaef9aadc23b47d5b1557b29dcb78,3,1
1a6eaef9aadc23b47d5b1557b29dcb78,4,1
1a6eaef9aadc23b47d5b1557b29dcb78,5,4
1a8ef3397376a3aca64decb0de217437,1,2
1a8ef3397376a3aca64decb0de217437,2,3
1a8ef3397376a3aca64decb0de217437,3,9
1a8ef3397376a3aca64decb0de217437,4,9
1a93e88c4c6bc1114b1bff19c5936f69,1,1
1a93e88c4c6bc1114b1bff19c5936f69,2,2
1a93e88c4c6bc1114b1bff19c5936f69,3,1
1a93e88c4c6bc1114b1bff19c5936f69,4,2
1a93e88c4c6bc1114b1bff19c5936f69,5,1
1a93e88c4c6bc1114b1bff19c5936f69,6,3
1ab63c4966dbf0743a3dcc7de98b9f5d,1,1
1ab63c4966dbf0743a3dcc7de98b9f5d,2,2
1ab63c4966dbf0743a3dcc7de98b9f5d,3,2
1ab63c4966dbf0743a3dcc7de98b9f5d,4,2
1ad2966673ecfab3965f7387e5dc3249,1,1
1ae534dc5e669bace96a437315e85c1a,1,2
1ae534dc5e669bace96a437315e85c1a,2,2
1ae534dc5e669bace96a437315e85c1a,3,2
1ae534dc5e669bace96a437315e85c1a,4,1
1ae534dc5e669bace96a437315e85c1a,5,1
1ae534dc5e669bace96a437315e85c1a,6,2
1b1cbaf94dab0dc0a3972789665fc2bc,1,1
1b1cbaf94dab0dc0a3972789665fc2bc,2,1
1b1cbaf94dab0dc0a3972789665fc2bc,3,1
1b1cbaf94dab0dc0a3972789665fc2bc,4,1
1b1cbaf94dab0dc0a3972789665fc2bc,5,1
1b25a8bd590e75347842f0a0807d0b4c,1,1
1b25a8bd590e75347842f0a0807d0b4c,2,1
1b25a8bd590e75347842f0a0807d0b4c,3,1
1b25a8bd590e75347842f0a0807d0b4c,4,1
1b25a8bd590e75347842f0a0807d0b4c,5,1
1b25a8bd590e75347842f0a0807d0b4c,6,1
1b31e8b73a704170f4e63940e180825a,1,1
1b31e8b73a704170f4e63940e180825a,2,1
1b5dcb38abe3623b58c69136aa29a981,1,1
1b5dcb38abe3623b58c69136aa29a981,2,1
1bfcfc3cb4b19c93f20ef3b181138f32,1,3
1bfcfc3cb4b19c93f20ef3b181138f32,2,1
1c107ca0b1135e363c79e41b783fa1bd,1,3
1c107ca0b1135e363c79e41b783fa1bd,2,7
1c107ca0b1135e363c79e41b783fa1bd,3,1
1c5b9e6ea76614e5a9d7a5d44f3f14c0,1,6
1c5b9e6ea76614e5a9d7a5d44f3f14c0,2,1
1c5b9e6ea76614e5a9d7a5d44f3f14c0,3,10
1c5b9e6ea76614e5a9d7a5d44f3f14c0,4,3
1c5b9e6ea76614e5a9d7a5d44f3f14c0,5,10
