conversation_id,gap_chain
38c4ce137627851ed680d4fb7e4ec035,2-2-2
38e903853180e75b997bedd0c9741f4d,11-11-2-2-2-2-6
391d7f1acab0641a578a48b222822afb,2-2-2-2-2-1
3985c8996a7cbcc31744610d74852f12,8-6-1-6-8-2-3
3b6ca5126911f38a1e9927c5c4399566,3-7-7-7-7-8-3-8-8-3
3c26ee0295b6db95f3803b1cb3343aee,5-5-2-6-2-4
3d8d0c1a95c00a8896f984bca9f378ee,3-6-6-2-2-1-6-1
3e4f8fd4541025ca95e80e95ecb26d10,5-9-2
3ec316d354286e4f22203de6fa97e114,2-2-2-2
3fbd9f73bee0bc8107dff6de8162dd40,8-3-6-7-3
42c0f096280fd15b3585ba370d61bb3b,2-8-3-8-2-1-1-2-2
42e58586e3bb00e53d13ba7625ca7c87,1-6
44d3b955c79c997c0131b7c4990839c1,9-2-7-7-7-7-7
46b7113ac86ed598935ec2d678b0475a,3-6-7-8-7-1-6
470c0d9ef6f38aba0b2637c10821bd1a,1-6-8-8
48047f070b1d223e3df879bf3a479520,2-6-6
4ac1eaab8a7d3d0a73238819e65dfb82,6
4b4195bcc03ce6d7f81b9c8293af3565,8-2
4b6e6c5c3b6f525667f839da3da7e750,3
4b81d7b3720c9f9872c65e22e829b6a6,6-6-3-8
4e75d8fdde17e06fc1d910d4e31416cf,7
4ff557ac6af9fb8782cb190e55dc1647,2-2-2
50fad8c796f630011e9bd8dcaec5be90,2-1-2-2-2-2-1-3-3-2-2-2-8
5365d6064a9346874aae6bebfccbca18,6
53f13256d2dd9acd41a25f2adcf7d4ce,6-2-2-2-7-7
5498f896671a8276f65faa2d8cb7a7d3,2-1-3-3-8
55493740c71abea412ff9d689158a6fe,6-6-2
55b5fd9bec878db39273f53a4a788c0e,2-2-6-2-6-3
5771ef1a2ecd5e0ff87994d124109fca,6-7
57eaaf9350f8c4df516173555bbd6ae7,2-6-2-6-7-7
594796d8c0c561ecc6f7f55c921c39a4,6-6-2-6-7
5b7333af9c7db6b59e908a98adcbcfb0,2
5c114eaeefba7b4e07654a719e16317f,2-5-3-2-5-9-2-6-6-6-8-2-2-8-8-8-2-8-3-2-2-4-5-9-8-5-3-6-8-9-6-3-9-9-5-8-9-9-6-6-6-2-2-2-8-8-8-2-3-2-9-9-9-1-5-5-1-5-6-3-6-6-6-3-1-6-9-2-2
5cf98829573d14505fb0776f7342e049,2
5dec98c285a4f21a3b09c4358ccd41d1,6-2
5e2467ea5fc2de0ea7122c66b4697646,1-1
5e4c5dff5aa42439bf5d833f6c8d747e,2-2-2-2-9-6-9-6-2-8-1-8-2-2-2-6
5e5c3bbfbdb9d25c59c4e3a728ca1370,2
5f2dded89dd4f293497a3ad31fd09a02,1-2-2-3-2-2-2-8-8
61588e6c571c5bf44956cdd2d3a3c964,8-2-3-8-3
61a70b023e5bc4d521f788ba4b5547ba,1-6
62308f6083bacba97a8c72b8e43ec182,7-2-7
654ae73c2aa8f9fc787ede7ce06be8d3,1
677e2873f65188a25985d4124dc2ce66,2
6a544682009fbe8faf0bc260509db312,3-2-2-2-5
6cf84900f53b366529fc932f75bc541d,3
6e5d0a2e0cc667522fa31802dacfd4e9,8
704d0942cce50229625de53ec259a8dc,2-7
70743a33a8b21372ed675320a20e82f8,6
707db9b7499a99e52061133f1c49327f,9
724d1bd695504bde2d0a96c92b15d901,2-6-8-2-6
74bd94d6be3542321f8be3eb455f0fd8,6
74e854768f8bc8a9d0349a52c96dcfc5,1-2-1-6
75d41803127ca872aeae562b6c35f2ed,4-2-2-9-2-2-2-2-2-2-2-8-2-1-2-8-8-8-2-2-2-2-2-2-2
76cfb8ccb15cf0320abce836274b8c6e,2-8-3-3-3
76eafaab4c7146ca0d28f45927d15987,8-2-2-2-2-2-2-2
77a2cb972e894468b9e5eec4fef5845b,6-6-2-2-2-6
792723a2393cbd6bf828eecef1b6453a,6-6-2-6-6-6-2-5-5-9-3-8-3-2-9-9-9-2-2-8-6-3-3-7-7-4-5-6-6-2-6-1-6-6-1-3-2-2-10-9-9-9-6-2-2-3-3-3-2-5-6-9-9-8-1-2-6-2-1-2-8-9-9-2-6-6-2-2-6-6-6
7bd9b43535a497203a10752371c01f21,2-2
7c07edaeb22230d66c2d8605cc06c23a,6-2-6-2
800cbfbce9be93cb12ff77b722beed16,2-2-2-2
80e2a8afeed1702802ae669908fccb1d,2-2-2
81519b0990ad4de73e5b3510e6f8c568,3-2-2
83314bb226f1d9af353cd477a3c8f111,3-6-7-7
8617c10e7c5356f10c2b09ecdebce707,2-2-1
8749f4737eb4a3382d6bf84278524ff7,2-2-1-3-9
88d62df320c256f8a920af5aab1643e9,2
8953888cc0c6b4a2d71c8ba02d77d8d7,6-11-2
896614fe812c90e4f901c617efd8e44a,6-2-2
8a4ea7a16f6af5f64fb385d764e7267d,2-7-3-5-9-5-3
8aa5a5f130824e70257059fec442d0bc,2
8c2524ec7b7c303c96952d5e17d81c91,9-2-2-8-1-2-2-2
8d1527c2f78b6eed44b57decd070b56b,1-3-3-7-8-8-8-8-3-3-6-6-6
8e3e19682b75a8fb0483abb359937af6,6-6-2-6
8e573e2d60b2ce2da542393fd818f3d6,1-6-3-6
8e7149d67185a6d7c604c32c1e46d31e,2-3-5-2-7-8-3-9-3
8f6e23e38002bf369bab1c6005bded4f,7-7-7-7-3-9-2
8fcb1372628b4da05486498f31ac2b1f,2
8fe719207ad41a86078ec1c3e5a8b6ea,4-3-4-2-2-5-2-2-2-2-2-2-2-2-2-2-2-2
93d055d831a7472edc53b0eb1890da9b,2-2-2-2-2
95776de22ac8ee1fd994046a5740cea9,2-2
96b4bf347dcfa988557dc25750321ba6,1
96dd630a072cd742dc49accf5b72f806,7-7-7
971cfc2cec6d71fe3a16b7b408fea96d,2-1-6-6-2-6
978f59f1895f9a5942b19cfbee81dddb,7-7-7-7-7-9-2-7-9-7-6
98ac38d1ad73c62921dce4fc40a52af6,6
9fcfe44216cfece298b200b44c234ec5,2-2
a23f143d8873a8fe1e42cac395ebace6,8-2
a4d709b7333e59baa16fb3c2456511a1,2-2-2-2-2-2-2-2-2
a6c2fb54ab93ee8bfa066feee52bb0bf,2
a7382e00b4db7417a79f3ef51a7f5e18,2-2-2
a770d89bd81f37f9c1d91bfc7ad42227,8-8-7-7-2-2-1-2
a9d69d92ffc5ec94a90a5e84f62ab1b2,2
ad1120b53919b1b99ac04118cff4bdab,2
ae7818da0d3168a3d701ad2b520b1155,2-6-3-3-6-2-2-2
ae95fb71c9e7264a4cb429cfa0ff54e2,6
aea1c9c64fe5e747d106b949468cf90a,2-3-3
b085878da952b075b2d70d09a1057d47,5-6
b20a751bd578f1af00e4464eb577ceec,2-2-3-8-3-2-2
b236ca9cb75057d3c85d2b5dbf3116df,6
b2d6d373486ac695dfafe7a6a3e81dc1,2-2-6-2-3-2-3-6
b373d1a73b2402828a84588b1effc18f,6-6
b3cd978cc8ea82cf48fe410b0ee1ccfb,1-1-1-6-2-6-8
b587a9883873762bc39f09e61d41b76c,1
b5cb19dc6763a585d3834901f6f37ece,6
b7c5b5e38d0168f65668d265b86af6bf,4-4
b94844c19adb5c10bb1d9763737c15b6,2
b965ad1701dfb245f1c0eeffc52a03e8,1-6
bb217b278aeb54a208b9ac34d9d8c0a4,6-6-6-6-2-8
bcc35b5fc7c61f583fc28fbe80a63f7c,9-8-8-3-8-8
bcd33696a3910b8f4a1c682fc3b0514e,8-3-3-2-2-6
bd19cf9c09ba550346a055adc86a6e21,6
bd537a1ff24ef4f7eefbb5d40465eb9b,2-1-2
bf3a0a91f0aec99faad5bdc6ee330c54,7-7
c00e4fa5e5c2abf0c690a0ae629df587,7-3
c1f2584037316fae261a3d96a8c59bb6,2-8-2-2-2-2
c25ad48872441ce3175eef19b7cb9782,2-2-1-2-1-2-6
c2bc0088b8918a7235329b4b212d5e8e,2-2-2-2-2-2-2-2-2-2
c4eddfd1347f099c607ac85487441284,2-9
c779a384f15760f48235dd814a07fe94,2-2
c8e9fbe7ef38158a31000ffac95259c1,7-7
cbf9ba336699d9a3e7bf9bde4cb1db1f,2-2
cdd2e9fa3bc305b88800ba8f53281ae0,1-8-3-1-1
cdea78f2057d4ca7f0f5558a20387bcb,11-3-8-1-8-2-1-2-3
d182db46c1a1e693490e55bb2819b261,8-2
d35d49f218947224a38bd7aa11793e6c,3-3
d41818af5c1052470491a4bd202ff84c,9
d4cc316d613da810834f8c43077164e0,3-6-6-9-2-2
d6a140d43d5276bae44b99a3688004b3,7-2
d9d370f22476050f9541a5db5da14443,2-2
dd386f38416a4ac94146ff99e4286878,6-2
dd910c30212418fabfad00ec1f525169,7-8-3
ddfa1a1565a663e6c70527e66678725f,6-2-6-6-2-2
de40263c818fc330472135b2dc55dc32,3-1-6-6-2-6-2
e088f0e164f0b65714eb0b5e263e68b4,4-4-6-3-7-6-8
e0bf6d3518e52ddee95a93bc086066ce,2-2-2-2
e0ccd87cf56cce67fc9d9c4ce84e2524,3-1-6-6-3-8-8-1-1-8-1-2
e2fcbf483a3b9f554f3afaf794ce946d,3-5-2-2-6-6-5-2-2-7-7-1-7-2-2-2-7
e3bb2d0177e84c25a1b96e0cd89ae03a,3
e3d687cdd02d4fa425877a11e628967d,1-1-3-1
e535fd25d791b0a107485c2f2b101e40,6
e53e2a133833e06fc2e006565e950dfc,2-2-2-2-6-2
e53fab473a90235133a7a74324cb070b,2-2-2-2-2-2-2-2-3
e7874f79c5e761bb8d37c1f4fc728020,3-7-6-3-6-2-2
e903d8337588573cf2dd25d6c62d01bb,2-9-1
e97c6bca58545ac5e79b08c0ecdf4326,2-2
e99455f19ee8a1f3fb07c695cf6b59ed,2-2
e9de3ba20042db495414b32b9c8e7c1f,1-2-2-2
ee0070dd287588041b1f41514be12163,1-6-6
ef22e52e6be7f20e6897fbd055786867,2-3-7-7-10-3-8-2
f0a1df61e16a6fdc7e0d4403d5632fb9,2-6-8-1-2-2-2-6-6-2
f0d6355d036fe60fdc8f370366916b26,1-7-7-2-6-6
f3b4d710795cba8da6fd7eddb00e4e64,2-2-1-1-2
f4c9c786446ae6ad3953e1f5667e9ef4,1
f66b56ff98bd2154270f58ac5e2d6add,8-2
f7be6964a7b258d8707e80060ba55eb1,2-2
facc7a7bd65e67caf8e389236bdf0016,1-2-2-1-3-3-3-2-2-2-2
fb63350da8f9070ac5a930beddc3fb17,1-6-1-2-2-2-2-2-2-2-6-3-2-2-1-2-3-3
fb87cb631d223abfa7855547a84c010b,7-7-7-7
fc5f75a627fe8b870d44012d92dc523b,9-9-2-2-2-10-10-7
