Topic,Count,Name,Representation,KeyBERT,MMR,OpenAI,Representative_Docs
11,940,11_dim_cells_sheet_cell,"['dim', 'cells', 'sheet', 'cell', 'range', 'sheets', 'lastrow', 'vba', 'sub', 'column']","['vba code', 'vba', 'worksheetfunction', 'write vba', 'cells lastrow', 'worksheet dim', 'xlup row', 'thisworkbook sheets', 'worksheet', 'cell value']","['lastrow', 'vba', 'worksheet', 'vba code', 'msgbox', 'activesheet', 'cell value', 'worksheets', 'excel', 'worksheet dim']",['<topic_label>Excel VBA Automation and Data Management</topic_label>'],
12,882,12_varchar_table_select_2023,"['varchar', 'table', 'select', '2023', 'create table', 'sql', '01', 'insert', 'left join', 'primary key']","['alter table', 'sql query', 'sql', 'create table', 'foreign key', 'tables', 'table', 'union select', 'tourname', 'left join']","['varchar', 'create table', 'sql', '01', 'left join', 'union select', 'foreign key', 'to_date', 'nvarchar', 'brett nachricht']",['<topic_label>SQL Schema Design and ORM-Based Persistence</topic_label>'],
13,824,13_times letter_letter_times_book,"['times letter', 'letter', 'times', 'book', 'za', 'x65', 'za za', 'books', 'python', 'x72']","['python code', 'python', 'school library', 'regex pattern', 'regex', 'library', 'json representation', 'program', 'sed', 'print book']","['times letter', 'python', 'enter word', 'words', 'word press', 'print', 'regex', 'req post', 'json representation', 'space bar']",['<topic_label>Text Processing with Regex and Stream Editing</topic_label>'],
14,815,14_org_springframework_org springframework_java,"['org', 'springframework', 'org springframework', 'java', 'maven', 'boot', 'artifactid', 'hibernate', 'groupid', 'gson']","['hibernatelearningvideos03and04', 'apache maven', 'org springframework', 'springframework', 'springframework boot', 'springframework beans', 'maven', 'org hibernate', 'errorresult', 'groupid artifactid']","['springframework', 'org springframework', 'maven', 'spring', 'org hibernate', 'apache', 'org apache', 'dependency', 'springframework boot', 'aspnetcore']",['<topic_label>Java Framework Integration and Error Handling</topic_label>'],
15,755,15_0x00_0x00 0x00_hwnd_dll,"['0x00', '0x00 0x00', 'hwnd', 'dll', 'std', '0x65 0x00', '0x00 0x65', 'xrgame', 'xrgame dll', '0x65']","['std mutex', 'hprocess', 'mutex', 'size_t', '0x44 0x00', 'exe', 'std cout', '0x00 0x61', 'uintptr_t', '0x44']","['dll', '0x00 0x65', 'hprocess', '0x00 0x61', '0x61 0x00', '0x00 0x74', '0x74 0x00', 'vector byte', '0x00 0x72', '0x72 0x00']",['<topic_label>Binary Patching and Memory Handling</topic_label>'],
16,727,16_pygame_game_card_current_line,"['pygame', 'game', 'card', 'current_line', 'sprite', 'pygame image', 'image load', 'suits', 'player', 'rank']","['pygame image', 'pygame', 'screen pygame', 'pygame draw', 'pygame display', 'pygame quit', 'event pygame', 'pygame time', 'type pygame', 'pygame event']","['pygame', 'game', 'sprite', 'pygame image', 'chess', 'pygame display', 'screen', 'pygame time', 'mouse_y', 'gamemodel']",['<topic_label>Game Development with Pygame</topic_label>'],
17,672,17_phi_end_zeros_end end,"['phi', 'end', 'zeros', 'end end', 'r_cu', 'phi res', 'phi phi', 'res phi', 'e_cuwang', 'plot']","['matlab', 'sensor', 'state variables', 'state array', 'error_iteration', 'augmented state', 'r_xi', 'brake pressure', 'diag np', 'num_steps']","['phi', 'phi res', 'res phi', 'plot', 'matlab', 'angle_deg', 'sin pi', 'equations', 'r_cu r_cu', 'function res']",['<topic_label>Signal Processing and System Analysis</topic_label>'],
18,659,18_npm_node_modules_js_quotation,"['npm', 'node_modules', 'js', 'quotation', 'npm err', 'webpack', 'workbox', 'gyp', 'node internal', 'err']","['req user', 'async', 'req', 'quotes index', 'imported', 'npm err', 'js node_modules', 'cors', 'promise', 'error']","['npm', 'node_modules', 'npm err', 'webpack', 'cjs', 'modules cjs', 'cjs loader', 'modules', 'quotation quotes', 'quotes']",['<topic_label>Quotation Import and Error Handling</topic_label>'],
19,653,19_fastq_folder_fsd_fastq gz,"['fastq', 'folder', 'fsd', 'fastq gz', 'files', 'directory', 'gz', 'golang', 'checkregistrykey', 'bam']","['testeddatetimes', 'bash script', 'python', 'systeminformation', 'script', 'cancellationtoken', 'control systeminformation', 'computername', 'tasks task', 'checkregistrykey']","['fastq', 'folder', 'fastq gz', 'files', 'directory', 'golang', 'trimmed_fastq_files', 'data trimmed_fastq_files', 'trimmed_fastq_files params', 'folders']",['<topic_label>Data Processing and File Management</topic_label>'],
20,648,20_postscache_chain_postscache unit_cur,"['postscache', 'chain', 'postscache unit', 'cur', 'python', 'firstwords', 'len chain', 'nextwords', 'glstatemanager', 'posts']","['chain firstwords', 'chain', 'thread string', 'posts struct', 'cur chain', 'len chain', 'python code', 'chain cur', 'posts threads', 'threads posts']","['postscache', 'postscache unit', 'glstatemanager', 'postsunit', 'posts threads', 'posts struct', 'threads posts', 'chain firstwords', 'removetags', 'thread string']",['<topic_label>Data Structure and Cache Management</topic_label>'],
21,606,21_second_artist_listeners_first_artist_audio,"['second_artist', 'listeners', 'first_artist', 'audio', 'artists', 'spotify', 'artists_listeners', 'monthly spotify', 'spotify listeners', 'mp4']","['artists_listeners second_artist', 'artists_listeners first_artist', 'int artists_listeners', 'artists_listeners', 'song_info', 'song_tags', 'audio_file', 'spotify listeners', 'audio_data', 'second_artist random']","['audio', 'spotify', 'artists_listeners', 'spotify listeners', 'audio_file', 'audio_file_path', 'audio_file tag', 'pyaudio', 'audio_data', 'audiofile']",['<topic_label>Audio/Video Stream Processing</topic_label>'],
22,582,22_tk_self root_pack_self,"['tk', 'self root', 'pack', 'self', 'root', 'pady', 'padx', 'image_folder', 'self image_folder', 'grid row']","['image_folder self', 'self display_image', 'self image_folder', 'image_files self', 'image_folder', 'self current_image_index', 'self image_files', 'tkinter', 'display_image', 'self main_frame']","['image_folder', 'self image_folder', 'self timer_interval', 'timer_interval', 'self timebutton_style', 'timebutton_style', 'time_background', 'self time_background', 'self button_style', 'tk button']",['<topic_label>Image Viewer Application Development</topic_label>'],
23,561,23_await_user_id_bot_message,"['await', 'user_id', 'bot', 'message', 'await db', 'async def', 'types', 'markup', 'db execute', 'async']","['aiogram dispatcher', 'bot', 'bot send_message', 'await bot', 'choosing_action', 'message state', 'async aiosqlite', 'aiosqlite connect', 'aiosqlite', 'aiogram']","['await', 'bot', 'await db', 'async def', 'async', 'await message', 'types message', 'message types', 'await bot', 'message from_user']",['<topic_label>User Interaction Workflow Management</topic_label>'],
24,480,24_openai_chat_api_chatbot,"['openai', 'chat', 'api', 'chatbot', 'prompt', '13b', '7b', 'gpt', 'model_url', 'pos1']","['openai api', 'response openai', 'openai api_key', 'openai server', 'code openai', 'openai openai', 'chatbot', 'openai', 'chat gpt', 'import openai']","['openai', 'chat', 'api', 'chatbot', 'model_url thebloke', 'openai api', 'chatgpt', 'openai server', 'ai', 'chat gpt']",['<topic_label>AI Model API Integration</topic_label>'],
25,427,25_py_pip_lib_packages,"['py', 'pip', 'lib', 'packages', 'py line', 'site packages', 'mahotas', 'site', 'lib site', 'build lib']","['pip build', 'lib python3', 'python python312', 'python312', 'modulenotfounderror', '__init__ py', 'modulenotfounderror module', 'pip install', 'setup py', 'tmp pip']","['py', 'pip', 'site packages', 'py build', 'cpython', 'setuptools', 'amd64 cpython', 'python', 'cpython 312', 'python3']",['<topic_label>Python Package Management Issues</topic_label>'],
26,415,26_uint256_address__gameid_contract,"['uint256', 'address', '_gameid', 'contract', 'msg sender', 'notice', 'gameid', 'sol', 'penduelinstance', 'dev']","['trade bot', 'uniswap v3', 'uniswap', 'bot node_modules', 'token0', 'token1', 'transaction', 'trade', 'deposit', '_gameid']","['uint256', '_gameid', 'contract', 'gameid', 'player2', 'games _gameid', 'fee', 'uint256 public', 'indexed', 'token']",['<topic_label>Smart Contract Development and Interaction</topic_label>'],
27,413,27_tk_unique_id_pack tk_2023 04,"['tk', 'unique_id', 'pack tk', '2023 04', 'send_data_to_player', 'pack', 'send_data_to_player unique_id', 'musician', 'value confirm', '04']","['socket error', 'client_socket', 'packet_file_path', 'logging error', 'packet', 'packets', 'server_port_entry', 'server_frame', 'server_ip_entry', 'socket']","['pack tk', 'send_data_to_player', 'send_data_to_player unique_id', 'musicians', 'write_file', 'file_frame', 'server_frame', 'client_socket', 'embeddium plus', 'packet_file_path']",['<topic_label>TCP Client Communication and Packet Management</topic_label>'],
28,402,28_quickcheck_counterexample_quickcheck counterexample_nondet,"['quickcheck', 'counterexample', 'quickcheck counterexample', 'nondet', 'u32', 'mut', 'selectnapart', 'vec', 'listmap', 'evalintexpr']","['tosingletonlists quickcheck', 'tosingletonlists', 'points implement', 'same_length_sublists test', 'listmap quickcheck', 'same_length_sublists', 'fibonacci_sublists test', 'fibonacci_sublists', 'listmap', 'list']","['quickcheck', 'counterexample', 'quickcheck counterexample', 'listmap', 'tosingletonlists', 'fibonacci_sublists', 'rust', 'postfixexpr', 'same_length_sublists', 'counterexample ints']",['<topic_label>Functional Programming Evaluation and Testing</topic_label>'],
29,373,29_street_marker_streetlatitude_streetlongitude,"['street', 'marker', 'streetlatitude', 'streetlongitude', 'log street', 'streetdetails', 'tank', 'console log', 'modificationid', 'nextbutton']","['google maps', 'map', 'lat streetlatitude', 'longitude', 'maps', 'street location', 'streetview', 'marker position', 'streetpoints', 'markerposition']","['street', 'streetlongitude', 'log street', 'streetdetails', 'streetpanoid', 'clicklocation', 'google maps', 'maps', 'map', 'streetpoints']",['<topic_label>Street View Interaction and Marker Management</topic_label>'],
30,355,30_vue_el_view class_props,"['vue', 'el', 'view class', 'props', 'template', 'el form', 'vxe', 'props row', 'el col', 'selectedvalues']","['props row', 'vue import', 'vue', 'dialog form', 'vue path', 'form item', 'template div', 'column vxe', 'vxe column', 'div template']","['vue', 'template', 'vxe', 'props row', 'template slot', 'vxe column', 'el button', 'el table', 'template script', 'form item']",['<topic_label>UI Component Development and Management</topic_label>'],
31,346,31_listviewitem_item_combobox_subitems,"['listviewitem', 'item', 'combobox', 'subitems', 'selecteditem', 'browserlist', 'subitems add', 'inventorylist', 'quantitytextbox', 'itemsprocessing']","['listviewitem', 'selecteditem', 'listviewitem listviewitem', 'selecteditems', 'imagelist', 'listview1', 'list listviewitem', 'listviewitem newitem', 'combobox', 'textbox']","['listviewitem', 'combobox', 'itemsprocessing', 'itemslist', 'listview1', 'listview', 'selecteditems', 'imagelist', 'listviewitem subitems', 'listview2']",['<topic_label>Item Management in ListView and ComboBox</topic_label>'],
32,346,32_portfolio_df_plt_num_coefficients_ax,"['portfolio_df', 'plt', 'num_coefficients', 'ax', 'plot', 'tradedate', 'data1', 'data2', 'industry_data', 'data1 data2']","['normalize_data', 'standardize_data', 'preprocessed_national_station_data', 'columns_to_normalize', 'calibrated_data', 'columns_to_standardize', 'standardized_data', 'preprocessed_micro_station_data', 'columns_to_replace', 'plt plot']","['portfolio_df', 'num_coefficients', 'industry_data', 'data1 data2', 'preprocessed_micro_station_data', 'outliers', 'pd', 'excess_return_compound', 'columns_to_replace', 'plt plot']",['<topic_label>Data Processing and Analysis Techniques</topic_label>'],
33,340,33_dart_import package_dart import_annonce,"['dart', 'import package', 'dart import', 'annonce', 'package', 'child', 'flutter', 'widget', 'final', 'annonces']","['supabase_flutter', 'flutter', 'package flutter', 'extends statefulwidget', 'statefulwidget', 'dart class', 'flutter material', 'list annonce', 'extends statelesswidget', 'override widget']","['dart', 'dart import', 'flutter', 'widget', 'package flutter', 'widget build', 'override widget', 'texteditingcontroller', 'sizedbox height', 'flutter material']",['<topic_label>Annonce Management and Display Implementation</topic_label>'],
34,337,34_hibernate_persistence_userid_entity,"['hibernate', 'persistence', 'userid', 'entity', 'parameters addwithvalue', 'addwithvalue', '_connection', 'cardid', 'command parameters', 'help_number']","['data sqlite', 'sqlite', 'data entity', 'entitymanager', 'new jsonobject', 'org hibernate', 'jsonobject', 'javax persistence', 'hibernate', 'entity core']","['hibernate', 'entity', 'cardid', 'command parameters', 'sqlite', 'entitymanager', 'data sqlite', 'mono data', 'jakarta persistence', 'cards id']",['<topic_label>Database Management and Entity Persistence</topic_label>'],
35,327,35_merged_df_csv_columns_csv file,"['merged_df', 'csv', 'columns', 'csv file', 'xlsx', 'excel', '2013 01', 'worker', 'pd', 'merged_df pd']","['merged_df merged_df', 'merged dataframe', 'merged_df', 'concat merged_df', 'excel file', 'merged_df df', 'merged_df pd', 'excel files', 'employees_df', 'pd read_excel']","['merged_df', 'csv', 'csv file', 'merged_df pd', 'dataframe', 'excel files', 'csv files', 'employees_df', 'merged_df merged_df', 'pd read_excel']",['<topic_label>Data Merging and Analysis Automation</topic_label>'],
36,326,36_double_extern__symbol_ta,"['double', 'extern', '_symbol', 'ta', 'extern int', 'timeframe', 'extern double', 'bool', 'normalizedouble', 'ordercomment']","['price_close', 'color color', 'timeframestr', 'input int', 'timeframe period', 'orderstotal', 'timeframe', '_digits', 'stop loss', 'input double']","['_symbol', 'extern int', 'timeframe', 'indicator', 'trend', 'extern bool', 'i_i_0', 'currenthistoryindex', 'setindexstyle', 'shift2']",['<topic_label>Technical Indicator Development and Analysis</topic_label>'],
37,316,37_symbol_dealer_signal_positionside,"['symbol', 'dealer', 'signal', 'positionside', 'opposite_position', 'quantity', 'step_size', 'symbol symbol', 'current_position', 'binance']","['binance_futures', 'binance', 'max_trade_quantity_percentage', 'client futures_create_order', 'stop_loss_percentage 100', 'take_profit_percentage 100', 'stop_loss_price', 'futures_create_order symbol', 'futures_create_order', 'stop_loss_percentage']","['signal', 'symbol symbol', 'binance', 'stop_loss_percentage', 'position_side', 'binance_futures', 'signal buy', 'max_trade_quantity_percentage', 'take_profit_price', 'order_quantity']",['<topic_label>Cryptocurrency Trading Automation</topic_label>'],
38,293,38_pandas _libs__libs_pandas_get_loc,"['pandas _libs', '_libs', 'pandas', 'get_loc', 'object attribute', 'keyerror', 'typeerror', 'attributeerror', 'packages pandas', 'attribute']","['keyerror err', 'keyerror', 'indexerror', 'keyerror traceback', 'raise keyerror', 'keyerror key', 'valueerror', 'get_item keyerror', '3803 keyerror', 'attributeerror']","['pandas _libs', 'keyerror', 'attributeerror', 'packages pandas', 'pandas core', 'hashtable pyobjecthashtable', '_libs hashtable_class_helper', 'hashtable_class_helper pxi', '_engine get_loc', 'file pandas']",['<topic_label>Data Processing Errors in Libraries</topic_label>'],
39,293,39_leaf_e1_e2_filestream,"['leaf', 'e1', 'e2', 'filestream', 'segment_duration', 'current_position', 'moments', 'e3', 'e1 e2', 'audio_data']","['binance_futures', 'binance', 'ticker', 'api_key', 'apikey', 'take_profit_percentage', 'api_secret', 'stop_loss_percentage', 'step_size', 'num_moments']","['filestream', 'segment_duration', 'audio_data', 'leaf e1', 'video_duration', 'video_path', 'fzip', 'audio_path', 'evalidexpr', 'step_size']",['<topic_label>Audio-Video Data Processing and Analysis</topic_label>'],
40,286,40_node_balance_root_p1,"['node', 'balance', 'root', 'p1', 'right', 'newnode', 'left', 'temp', 'current', 'p2']","['linked list', 'linkedlist', 'listnode', 'struct node', 'prev newnode', 'left nullptr', 'struct', 'right nullptr', 'поворот', 'std cout']","['node', 'node left', 'node node', 'node right', 'tree', 'root left', 'balance p1', 'listnode', 'require nodes', 'new node']",['<topic_label>AVL Tree Balancing and Operations</topic_label>'],
41,283,41_git_branch_dosbox_mingw,"['git', 'branch', 'dosbox', 'mingw', 'github', 'repo', 'repository', 'intellectual property', 'https huggingface', 'pull']","['build scripts', 'source github', 'use git', 'github repo', 'github', 'copyright', 'git', 'git config', 'git pull', 'scripts mingw']","['git', 'dosbox', 'mingw', 'github', 'ckpt controlnet', 'controlnet', 'huggingface ckpt', 'rgba', 'scripts mingw', '255 rgba']",['<topic_label>Version Control and Development Automation</topic_label>'],
42,282,42_columns_pd_col_df,"['columns', 'pd', 'col', 'df', 'pl', 'combined_df', 'csv', 'pandas', 'y_cl4', '00']","['pandas core', 'dataframe', 'pandas _libs', 'combined_df', 'pd dataframe', 'packages pandas', 'hourly_df', 'df index', 'daily_row', 'combined_df pd']","['combined_df', 'csv', 'self columns', 'dataframe', 'packages pandas', 'df index', 'read_csv', 'pd read_csv', 'history_values', 'col_name']",['<topic_label>DataFrame Efficiency Optimization</topic_label>'],
43,282,43_website_camping_page_html,"['website', 'camping', 'page', 'html', 'camping equipment', 'equipment', 'html css', 'furniture', 'home page', 'retail camping']","['html website', 'design website', 'website html', 'html pages', 'html css', 'using html', 'responsive design', 'page responsive', 'css', 'create website']","['html', 'camping equipment', 'html css', 'home page', 'retail camping', 'camping company', 'web', 'create website', 'placeholder com', 'web page']",['<topic_label>Camping Retail Website Development</topic_label>'],
44,280,44_expr_opstack_expr expr_numstack,"['expr', 'opstack', 'expr expr', 'numstack', 'tokens', 'op', 'op type', 'len opstack', 'token', 'nil']","['compute tokens', 'type tokentype', 'token type', 'tokentype', 'isdigit rune', 'type sqrt', 'expr numlen', 'expr isdigit', 'expr token', 'rune expr']","['opstack', 'expr expr', 'len opstack', 'expr len', 'opstack len', 'popnumstack', 'args float64', 'operatorstack', 'expr case', 'opstack opstack']",['<topic_label>Mathematical Expression Evaluation</topic_label>'],
45,280,45_bukkit_player_org bukkit_eldritchsymbols,"['bukkit', 'player', 'org bukkit', 'eldritchsymbols', 'import org', 'chatcolor', 'gtanks', 'sendmessage', 'visibleitem', 'import gtanks']","['screenwidth', 'bukkit command', 'inventorywindows', 'm_equipmentcontainer', 'visibleitem', 'registergui', 'chatcolor', 'screenheight', 'chatcolor red', 'guicreatelabel']","['bukkit', 'org bukkit', 'chatcolor', 'visibleitem', 'itemstack', 'symboltype', 'player player', 'player sendmessage', 'bukkit event', 'battlefieldplayercontroller']",['<topic_label>Player Inventory Management and Interaction</topic_label>'],
46,278,46_df_mark_price_buy_qty_sell_qty,"['df', 'mark_price', 'buy_qty', 'sell_qty', 'iloc', 'bid_depth', 'ask_depth', 'mark_price_data', 'symbol', 'signals']","['mark_price_data_change', 'bid_depth sell_price', 'sell_entry_price', 'buy_price float', 'buy_entry_price', 'sell_price float', 'mark_price_data', 'buy_price', 'signal_generator df', 'float mark_price_data']","['df', 'mark_price', 'sell_qty', 'bid_depth', 'mark_price_data', 'depth_data', 'df close', 'bids', 'candle_analysis', 'buy_price']",['<topic_label>Trading Algorithm Implementation</topic_label>'],
47,278,47_aws_application_kafka_object properties,"['aws', 'application', 'kafka', 'object properties', 'type object', 'string description', 'mediaplan', 'vnd', 'type string', 'application vnd']","['kubernetes', 'helm', 'nginx conf', 'apiversion', 'nginx config', 'nginx', 'mediaplan', 'type aws', 'description total', 'payload']","['aws', 'application', 'kafka', 'type object', 'mediaplan', 'nginx', 'properties', 'kubernetes', 'application octet', 'mime types']",['<topic_label>Microservices and API Management</topic_label>'],
48,263,48_shortest_shortest path_v6_v5,"['shortest', 'shortest path', 'v6', 'v5', 'v4', 'v3', 'path length', 'v2', 'v1', 'graph']","['adjacency', 'graph graph', 'num_vertices', 'shortest path', 'shortest paths', 'graph', 'adjmatrix', 'path length', 'scanner', 'println']","['shortest', 'shortest path', 'path length', 'graph', 'pmatrix', 'path', 'vj shortest', 'nodes', 'v3 v5', 'node']",['<topic_label>Graph Shortest Path Calculation</topic_label>'],
49,251,49_docker_ballot_dockerfile_excludedcountries,"['docker', 'ballot', 'dockerfile', 'excludedcountries', 'docker compose', 'immutable public', 'container_name', 'nginx', 'apt', 'ballot address1']","['docker run', 'run docker', 'docker container', 'dockerfile', 'docker', 'docker compose', 'kubernetes io', 'kubernetes', 'composer setup', 'container_name']","['docker', 'ballot', 'dockerfile', 'excludedcountries', 'docker compose', 'container_name', 'ballot address1', 'ballottype', 'docker run', 'ballot number1']",['<topic_label>Containerized Application Development and Security</topic_label>'],
50,241,50_svg_ctx_canvas_sunpos,"['svg', 'ctx', 'canvas', 'sunpos', 'stop', 'rotate', 'math', 'svg code', 'stop opacity', 'style stop']","['svg image', 'svg code', 'svg', 'textangle', 'ctx fillstyle', 'draw', 'canvas', 'fillstyle', 'width canvas', 'ctx translate']","['svg', 'canvas', 'rotate', 'svg code', 'pentagram', 'canvas width', 'canvas height', 'fillstyle', 'currentangle', 'transform rotate']",['<topic_label>SVG Graphics Manipulation and Rendering</topic_label>'],
51,227,51_temp_эд_0x00_new_root,"['temp', 'эд', '0x00', 'new_root', 'страниц', 'getheight', 'эда', 'ind', 'его', 'зомби']","['где', 'бена', 'его', 'введение', 'интерьер', 'эд', 'для', 'они', 'эда', 'после']","['эд', 'new_root', 'getheight', 'await db', 'reply terminal', 'test yandex', 'backend1 ru', 'backend1', 'db execute', 'yandex ru']",['<topic_label>Data Handling and Processing Tasks</topic_label>'],
52,225,52_codec_inputformatcontext_enable_video,"['codec', 'inputformatcontext', 'enable', 'video', 'ffmpeg', 'outputformatcontext', 'pastreamo', 'm_ofmt_ctx', 'alaw_codeccontext', 'dts']","['ffmpeg', 'main_video_length', 'video_durations', 'video_duration', 'avcodec', 'video_path', 'audio_data', 'rtp_mpegts', 'avcodec_open2', 'moviepy']","['codec', 'video', 'ffmpeg', 'outputformatcontext', 'alaw_codeccontext', 'pastreamo codec', 'volume_db', 'final_clip', 'outputpacket', 'txt_clip']",['<topic_label>Video Processing and Codec Management</topic_label>'],
53,225,53_chart_chart current_dpiscale_set calendar,"['chart', 'chart current', 'dpiscale', 'set calendar', 'canvassize', 'calendar', 'klinedata', 'startcalendar', 'current', 'darkmode']","['candlechart', 'useeffect chart', 'chart current', 'const chart', 'chartinterval', 'chart', 'chart chart', 'current chart', 'chart tradeid', 'indicator']","['chart', 'chart current', 'dpiscale', 'set calendar', 'canvassize', 'calendar', 'startcalendar set', 'bars', 'yposition', 'canvasref']",['<topic_label>Candlestick Chart Integration and Real-Time Visualization</topic_label>'],
54,220,54_args_gpt_args file_information,"['args', 'gpt', 'args file', 'information', 'memory', 'file file', 'gpt agent', 'summaryforgpt', 'retrieve', 'file']","['gpt agent', 'start gpt', 'context gpt', 'gpt', 'term memory', 'commands', 'command', 'previous gpt', 'memory', 'summaryforgpt']","['args', 'args file', 'information', 'gpt agent', 'summaryforgpt', 'args key', 'commands', 'term memory', 'file text', 'command']",['<topic_label>AI-Assisted Coding Task Management</topic_label>'],
